review_text,rating,product_name
"I absolutely love this product! It exceeded all my expectations and works perfectly.",5,Smartphone
"This is the worst purchase I've ever made. Complete waste of money.",1,Headphones
"The product is okay, nothing special but does what it's supposed to do.",3,Tablet
"Amazing quality and fast delivery. Highly recommend to everyone!",5,Laptop
"Terrible customer service and the product broke after one week.",1,Smartwatch
"Good value for money. Works as described but could be better.",4,Camera
"I hate this product. It's completely useless and doesn't work at all.",1,Speaker
"Perfect! Exactly what I was looking for. Great design and functionality.",5,Monitor
"It's fine. Not great, not terrible. Just average.",3,Keyboard
"Best purchase ever! Changed my life completely. Worth every penny!",5,Mouse
"Worst experience ever. Product arrived damaged and customer support was useless.",1,Router
"Pretty good product. Some minor issues but overall satisfied.",4,Printer
"I love it! Fast, efficient, and reliable. Would buy again.",5,Scanner
"Complete garbage. Stopped working after two days. Very disappointed.",1,Webcam
"Average product. Does the job but nothing extraordinary.",3,Headset
"Excellent quality and performance. Exceeded my expectations in every way.",5,Microphone
"Poor quality materials. Fell apart within a week.",1,Charger
"Good product for the price. Some features could be improved.",4,PowerBank
"Absolutely fantastic! Best in its category. Highly recommended!",5,USBHub
"Useless product. Doesn't do what it promises. Total scam.",1,Adapter
